"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131993","b4171","NP_418592.1","delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase","57945","Pseudomonas aeruginosa PAO1","15600138","PA4945","NP_253632.1","tRNA delta(2)-isopentenylpyrophosphate transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131300","b3426","NP_417884.1","sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15598780","PA3584","NP_252274.1","glycerol-3-phosphate dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111182","b0878","NP_415399.4","macrolide transporter subunit, membrane fusion protein (MFP) component","57945","Pseudomonas aeruginosa PAO1","15597585","PA2389","NP_251079.1","PvdR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129372","b1411","NP_415929.1","predicted phosphatase inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15597735","PA2539","NP_251229.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130264","b2329","NP_416832.1","chorismate synthase","57945","Pseudomonas aeruginosa PAO1","15596878","PA1681","NP_250372.1","chorismate synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129807","b1854","NP_416368.1","pyruvate kinase II","57945","Pseudomonas aeruginosa PAO1","15599525","PA4329","NP_253019.1","pyruvate kinase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131134","b3244","NP_417711.1","predicted peptidase","57945","Pseudomonas aeruginosa PAO1","15599670","PA4474","NP_253164.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129586","b1628","NP_416145.1","electron transport complex protein, iron-sulfur protein, required for the reduction of SoxR","57945","Pseudomonas aeruginosa PAO1","15598686","PA3490","NP_252180.1","electron transport complex protein RnfB","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130783","b2881","NP_417357.1","probable hypoxanthine oxidase, molybdopterin-binding/Fe-S binding","57945","Pseudomonas aeruginosa PAO1","15596720","PA1523","NP_250214.1","xanthine dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128132","b0139","NP_414681.1","predicted outer membrane usher protein","57945","Pseudomonas aeruginosa PAO1","15599279","PA4084","NP_252773.1","usher CupB3","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128127","b0134","NP_414676.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","57945","Pseudomonas aeruginosa PAO1","15599923","PA4729","NP_253417.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131093","b3203","NP_417670.1","ribosome hibernation promoting factor HPF; stabilizes 70S dimers (100S)","57945","Pseudomonas aeruginosa PAO1","15599659","PA4463","NP_253153.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128884","b0917","NP_415437.1","conserved protein, UPF0434 family","57945","Pseudomonas aeruginosa PAO1","15598176","PA2980","NP_251670.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131793","b3955","NP_418390.1","conserved inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15599713","PA4517","NP_253207.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129587","b1629","NP_416146.1","electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase","57945","Pseudomonas aeruginosa PAO1","15598687","PA3491","NP_252181.1","electron transport complex protein RnfC","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131060","b3168","NP_417637.1","fused protein chain initiation factor 2, IF2: membrane protein/conserved protein","57945","Pseudomonas aeruginosa PAO1","15599938","PA4744","NP_253432.1","translation initiation factor IF-2","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128641","b0658","NP_415191.1","predicteed ion transport","57945","Pseudomonas aeruginosa PAO1","15599178","PA3983","NP_252672.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130133","b2196","NP_416700.1","heme lyase, CcmF subunit","57945","Pseudomonas aeruginosa PAO1","15596677","PA1480","NP_250171.1","cytochrome C biogenesis protein CcmF","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176356","b3438","YP_026222.1","DNA-binding transcriptional repressor","57945","Pseudomonas aeruginosa PAO1","15597516","PA2320","NP_251010.1","GntR family transcriptional regulator","1","b4264[DNA-binding transcriptional repressor, 5-gluconate-binding]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132086","b4264","NP_418685.1","DNA-binding transcriptional repressor, 5-gluconate-binding","57945","Pseudomonas aeruginosa PAO1","15597516","PA2320","NP_251010.1","GntR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129294","b1333","NP_415849.1","stress-induced protein","57945","Pseudomonas aeruginosa PAO1","15596986","PA1789","NP_250480.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128558","b0575","NP_415107.1","copper/silver efflux system, membrane component","57945","Pseudomonas aeruginosa PAO1","15597716","PA2520","NP_251210.1","Resistance-Nodulation-cell Division (RND) divalent metal cation efflux transporter CzcA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129237","b1276","NP_415792.1","aconitate hydratase 1","57945","Pseudomonas aeruginosa PAO1","15596759","PA1562","NP_250253.1","aconitate hydratase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131836","b4006","NP_418434.1","fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase","57945","Pseudomonas aeruginosa PAO1","15600047","PA4854","NP_253541.1","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131656","b3804","NP_418248.1","uroporphyrinogen III synthase","57945","Pseudomonas aeruginosa PAO1","15600452","PA5259","NP_253946.1","uroporphyrinogen-III synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128116","b0123","NP_414665.1","multicopper oxidase (laccase)","57945","Pseudomonas aeruginosa PAO1","15597261","PA2065","NP_250755.1","copper resistance protein A precursor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128116","b0123","NP_414665.1","multicopper oxidase (laccase)","57945","Pseudomonas aeruginosa PAO1","15598963","PA3768","NP_252457.1","metallo-oxidoreductase","1","","PA2065[copper resistance protein A precursor]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128078","b0085","NP_414627.1","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase","57945","Pseudomonas aeruginosa PAO1","15599613","PA4417","NP_253107.1","UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129619","b1661","NP_416178.1","cyclopropane fatty acyl phospholipid synthase (unsaturated-phospholipid methyltransferase)","57945","Pseudomonas aeruginosa PAO1","15600739","PA5546","NP_254233.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129831","b1879","NP_416393.1","predicted flagellar export pore protein","57945","Pseudomonas aeruginosa PAO1","15596649","PA1452","NP_250143.1","flagellar biosynthesis protein FlhA","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128139","b0146","NP_414688.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15599915","PA4721","NP_253409.1","sugar fermentation stimulation protein A","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698262","b1490","NP_416007.3","diguanylate cyclase; cold- and stationary phase-induced oxygen-dependent biofilm regulator; positively regulates csgBAC and pgaABCD","57945","Pseudomonas aeruginosa PAO1","15598373","PA3177","NP_251867.1","hypothetical protein","1","","PA5487[hypothetical protein]","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698262","b1490","NP_416007.3","diguanylate cyclase; cold- and stationary phase-induced oxygen-dependent biofilm regulator; positively regulates csgBAC and pgaABCD","57945","Pseudomonas aeruginosa PAO1","15600680","PA5487","NP_254174.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","171701684","b3906","NP_418342.2","DNA-binding transcriptional activator for rhaSR, L-rhamnose-binding","57945","Pseudomonas aeruginosa PAO1","15597892","PA2696","NP_251386.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130111","b2173","NP_416678.1","predicted enzyme","57945","Pseudomonas aeruginosa PAO1","15600725","PA5532","NP_254219.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176403","b3770","YP_026247.1","branched-chain amino-acid aminotransferase","57945","Pseudomonas aeruginosa PAO1","15600206","PA5013","NP_253700.1","branched-chain amino acid aminotransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131413","b3541","NP_417998.1","dipeptide/heme transporter","57945","Pseudomonas aeruginosa PAO1","15599701","PA4505","NP_253195.1","ATP-binding component of ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131585","b3717","NP_418173.1","conserved protein, UPF0167 family","57945","Pseudomonas aeruginosa PAO1","15596733","PA1536","NP_250227.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131928","b4102","NP_418526.1","predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation","57945","Pseudomonas aeruginosa PAO1","15598577","PA3381","NP_252071.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132113","b4292","NP_418712.1","KpLE2 phage-like element; transmembrane signal transducer for ferric citrate transport","57945","Pseudomonas aeruginosa PAO1","15599095","PA3900","NP_252589.1","transmembrane sensor","2","","PA2467[anti-sigma factor FoxR];PA1911[sigma factor regulator, FemR]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132113","b4292","NP_418712.1","KpLE2 phage-like element; transmembrane signal transducer for ferric citrate transport","57945","Pseudomonas aeruginosa PAO1","15597663","PA2467","NP_251157.1","anti-sigma factor FoxR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132113","b4292","NP_418712.1","KpLE2 phage-like element; transmembrane signal transducer for ferric citrate transport","57945","Pseudomonas aeruginosa PAO1","15597107","PA1911","NP_250601.1","sigma factor regulator, FemR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131176","b3297","NP_417756.1","30S ribosomal subunit protein S11","57945","Pseudomonas aeruginosa PAO1","15599436","PA4240","NP_252930.1","30S ribosomal protein S11","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135904","b2010","NP_416514.4","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6b)","57945","Pseudomonas aeruginosa PAO1","15599194","PA3999","NP_252688.1","D-ala-D-ala-carboxypeptidase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128615","b0632","NP_415165.1","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)","57945","Pseudomonas aeruginosa PAO1","15599194","PA3999","NP_252688.1","D-ala-D-ala-carboxypeptidase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128807","b0839","NP_415360.1","D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)","57945","Pseudomonas aeruginosa PAO1","15599194","PA3999","NP_252688.1","D-ala-D-ala-carboxypeptidase","2","b2010[D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6b)];b0632[D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)]","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111406","b2246","NP_416749.4","predicted L-rhamnonate transporter","57945","Pseudomonas aeruginosa PAO1","15597410","PA2214","NP_250904.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111633","b3668","NP_418124.4","sensory histidine kinase in two-component regulatory sytem with UhpA","57945","Pseudomonas aeruginosa PAO1","15595797","PA0600","NP_249291.1","two-component sensor","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111633","b3668","NP_418124.4","sensory histidine kinase in two-component regulatory sytem with UhpA","57945","Pseudomonas aeruginosa PAO1","15597175","PA1979","NP_250669.1","sensor kinase, EraS","1","","PA0600[two-component sensor]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130499","b2574","NP_417069.1","quinolinate synthase, L-aspartate oxidase (B protein) subunit","57945","Pseudomonas aeruginosa PAO1","15595958","PA0761","NP_249452.1","L-aspartate oxidase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128458","b0474","NP_415007.1","adenylate kinase","57945","Pseudomonas aeruginosa PAO1","15598882","PA3686","NP_252376.1","adenylate kinase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130577","b2663","NP_417149.1","gamma-aminobutyrate transporter","57945","Pseudomonas aeruginosa PAO1","15595327","PA0129","NP_248819.1","gamma-aminobutyrate permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698331","b3765","NP_418214.2","predicted bifunctional enzyme and transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15600483","PA5290","NP_253977.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129565","b1607","NP_416124.1","inner membrane protein, GlpM family","57945","Pseudomonas aeruginosa PAO1","15598781","PA3585","NP_252275.1","membrane protein GlpM","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130812","b2910","NP_417386.1","protein that localizes to the cytokinetic ring","57945","Pseudomonas aeruginosa PAO1","15600420","PA5227","NP_253914.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130963","b3067","NP_417539.1","RNA polymerase, sigma 70 (sigma D) factor","57945","Pseudomonas aeruginosa PAO1","15595773","PA0576","NP_249267.1","RNA polymerase sigma factor RpoD","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129981","b2041","NP_416545.1","dTDP-glucose 4,6 dehydratase, NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15600354","PA5161","NP_253848.1","dTDP-D-glucose 4,6-dehydratase","1","b3788[dTDP-glucose 4,6-dehydratase]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176411","b3788","YP_026255.1","dTDP-glucose 4,6-dehydratase","57945","Pseudomonas aeruginosa PAO1","15600354","PA5161","NP_253848.1","dTDP-D-glucose 4,6-dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129925","b1981","NP_416488.1","shikimate transporter","57945","Pseudomonas aeruginosa PAO1","15598791","PA3595","NP_252285.1","major facilitator superfamily (MFS) transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128709","b0734","NP_415262.1","cytochrome d terminal oxidase, subunit II","57945","Pseudomonas aeruginosa PAO1","15599124","PA3929","NP_252618.1","cyanide insensitive terminal oxidase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128945","b0979","NP_415498.1","cytochrome bd-II oxidase, subunit II","57945","Pseudomonas aeruginosa PAO1","15599124","PA3929","NP_252618.1","cyanide insensitive terminal oxidase","1","b0734[cytochrome d terminal oxidase, subunit II]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132064","b4242","NP_418663.1","magnesium transporter","57945","Pseudomonas aeruginosa PAO1","15600018","PA4825","NP_253512.1","Mg(2+) transport ATPase, P-type 2","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128054","b0060","NP_414602.1","DNA polymerase II","57945","Pseudomonas aeruginosa PAO1","15597083","PA1886","NP_250577.1","DNA polymerase II","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129799","b1846","NP_416360.1","inner membrane protein, DUF533 family","57945","Pseudomonas aeruginosa PAO1","15598907","PA3712","NP_252401.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129498","b1539","NP_416057.1","Malonic semialdehyde reductase, NADPH-dependent; L-allo-threonine dehydrogenase, NAD(P)-dependent; also oxidizes L-serine, D-serine, D-threonine and 3-hydroxyisobutyrate","57945","Pseudomonas aeruginosa PAO1","15600100","PA4907","NP_253594.1","short-chain dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131922","b4096","NP_418520.1","carbon-phosphorus lyase complex subunit","57945","Pseudomonas aeruginosa PAO1","15598571","PA3375","NP_252065.1","ATP-binding component of ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130340","b2414","NP_416909.1","cysteine synthase A, O-acetylserine sulfhydrolase A subunit","57945","Pseudomonas aeruginosa PAO1","15597905","PA2709","NP_251399.1","cysteine synthase A","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131885","b4059","NP_418483.1","single-stranded DNA-binding protein","57945","Pseudomonas aeruginosa PAO1","15599428","PA4232","NP_252922.1","single-stranded DNA-binding protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132148","b4327","NP_418747.1","Cell density-dependent motility repressor","57945","Pseudomonas aeruginosa PAO1","15600621","PA5428","NP_254115.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129246","b1285","NP_415801.1","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability","57945","Pseudomonas aeruginosa PAO1","15599797","PA4601","NP_253291.1","motility regulator","5","","PA5017[hypothetical protein];PA1727[MucR];PA0575[hypothetical protein];PA5442[hypothetical protein];PA0285[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129246","b1285","NP_415801.1","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability","57945","Pseudomonas aeruginosa PAO1","15600210","PA5017","NP_253704.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129246","b1285","NP_415801.1","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability","57945","Pseudomonas aeruginosa PAO1","15596924","PA1727","NP_250418.1","MucR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129246","b1285","NP_415801.1","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability","57945","Pseudomonas aeruginosa PAO1","15595772","PA0575","NP_249266.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129246","b1285","NP_415801.1","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability","57945","Pseudomonas aeruginosa PAO1","15600635","PA5442","NP_254129.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129246","b1285","NP_415801.1","cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability","57945","Pseudomonas aeruginosa PAO1","15595482","PA0285","NP_248976.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131245","b3366","NP_417825.1","nitrite reductase, NAD(P)H-binding, small subunit","57945","Pseudomonas aeruginosa PAO1","15596977","PA1780","NP_250471.1","assimilatory nitrite reductase small subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130067","b2129","NP_416633.1","predicted transporter subunit: ATP-binding component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15599086","PA3891","NP_252580.1","ATP-binding component of ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111156","b0630","NP_415163.2","lipoyl-protein ligase","57945","Pseudomonas aeruginosa PAO1","15599192","PA3997","NP_252686.1","lipoate-protein ligase B","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131816","b3986","NP_418413.1","50S ribosomal subunit protein L7/L12","57945","Pseudomonas aeruginosa PAO1","15599467","PA4271","NP_252961.1","50S ribosomal protein L7/L12","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130591","b2677","NP_417163.1","glycine betaine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600287","PA5094","NP_253781.1","ATP-binding component of ABC transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130324","b2392","NP_416893.1","manganese/divalent cation transporter","57945","Pseudomonas aeruginosa PAO1","15599530","PA4334","NP_253024.1","manganese transporter MntH","1","","PA0809[manganese transporter MntH]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130324","b2392","NP_416893.1","manganese/divalent cation transporter","57945","Pseudomonas aeruginosa PAO1","15596006","PA0809","NP_249500.1","manganese transporter MntH","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111336","b1809","NP_416323.4","conserved protein, UPF0076 famiily","57945","Pseudomonas aeruginosa PAO1","15600496","PA5303","NP_253990.1","hypothetical protein","2","","PA1568[hypothetical protein];PA5083[hypothetical protein]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111336","b1809","NP_416323.4","conserved protein, UPF0076 famiily","57945","Pseudomonas aeruginosa PAO1","15596765","PA1568","NP_250259.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111336","b1809","NP_416323.4","conserved protein, UPF0076 famiily","57945","Pseudomonas aeruginosa PAO1","15600276","PA5083","NP_253770.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129993","b2053","NP_416557.1","GDP-D-mannose dehydratase, NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15600646","PA5453","NP_254140.1","GDP-mannose 4,6-dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130336","b2410","NP_416905.1","predicted inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15597222","PA2026","NP_250716.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128824","b0856","NP_415377.1","putrescine transporter subunit: membrane component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15595500","PA0303","NP_248994.1","polyamine transporter PotH","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130217","b2282","NP_416785.1","NADH:ubiquinone oxidoreductase, membrane subunit H","57945","Pseudomonas aeruginosa PAO1","15597839","PA2643","NP_251333.1","NADH dehydrogenase subunit H","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130855","b2954","NP_417429.1","dITP/XTP pyrophosphatase","57945","Pseudomonas aeruginosa PAO1","15595584","PA0387","NP_249078.1","deoxyribonucleotide triphosphate pyrophosphatase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131454","b3583","NP_418040.1","L-ribulose-5-phosphate 4-epimerase","57945","Pseudomonas aeruginosa PAO1","15596880","PA1683","NP_250374.1","methylthioribulose-1-phosphate dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128055","b0061","NP_414603.1","L-ribulose-5-phosphate 4-epimerase","57945","Pseudomonas aeruginosa PAO1","15596880","PA1683","NP_250374.1","methylthioribulose-1-phosphate dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132020","b4198","NP_418619.1","L-ribulose 5-phosphate 4-epimerase","57945","Pseudomonas aeruginosa PAO1","15596880","PA1683","NP_250374.1","methylthioribulose-1-phosphate dehydratase","2","b3583[L-ribulose-5-phosphate 4-epimerase];b0061[L-ribulose-5-phosphate 4-epimerase]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129046","b1083","NP_415601.1","flagellar hook-filament junction protein","57945","Pseudomonas aeruginosa PAO1","15596284","PA1087","NP_249778.1","flagellar hook-associated protein FlgL","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131726","b3886","NP_418322.1","predicted inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15596148","PA0951","NP_249642.1","ribonuclease","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131369","b3497","NP_417954.1","predicted SAM-dependent methyltransferase","57945","Pseudomonas aeruginosa PAO1","15598876","PA3680","NP_252370.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130145","b2208","NP_416712.1","ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA","57945","Pseudomonas aeruginosa PAO1","15596373","PA1176","NP_249867.1","ferredoxin protein NapF","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128385","b0400","NP_414934.1","sensory histidine kinase in two-component regulatory system with PhoB","57945","Pseudomonas aeruginosa PAO1","15600554","PA5361","NP_254048.1","two-component sensor PhoR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129816","b1863","NP_416377.1","component of RuvABC resolvasome, endonuclease","57945","Pseudomonas aeruginosa PAO1","15596162","PA0965","NP_249656.1","Holliday junction resolvase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135897","b0807","NP_415328.4","23S rRNA mA1618 methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15599035","PA3840","NP_252529.1","SAM-dependent methyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130732","b2828","NP_417305.1","phosphatidylglycerol-prolipoprotein diacylglyceryl transferase","57945","Pseudomonas aeruginosa PAO1","15595538","PA0341","NP_249032.1","prolipoprotein diacylglyceryl transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","221800781","b1327","NP_415843.2","predicted hydrolase","57945","Pseudomonas aeruginosa PAO1","15597414","PA2218","NP_250908.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128850","b0882","NP_415403.1","ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity","57945","Pseudomonas aeruginosa PAO1","15597816","PA2620","NP_251310.1","ATP-binding protease component ClpA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128076","b0083","NP_414625.1","membrane bound cell division protein at septum containing leucine zipper motif","57945","Pseudomonas aeruginosa PAO1","15599615","PA4419","NP_253109.1","cell division protein FtsL","","","",""
