"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4703","NP_253391.1","hypothetical protein","91","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4704","NP_253392.1","cAMP-binding protein A","266","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4705","NP_253393.1","PhuW","296","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4706","NP_253394.1","PhuV","256","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4706","NP_253394.1","PhuV","256","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4707","NP_253395.1","PhuU","328","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4707","NP_253395.1","PhuU","328","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4708","NP_253396.1","Heme-transport protein, PhuT","298","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4708","NP_253396.1","Heme-transport protein, PhuT","298","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4709","NP_253397.1","PhuS","355","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4710","NP_253398.1","Heme/Hemoglobin uptake outer membrane receptor PhuR precursor","765","Outer Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4710","NP_253398.1","Heme/Hemoglobin uptake outer membrane receptor PhuR precursor","765","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4711","NP_253399.1","hypothetical protein","116","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4712","NP_253400.1","hypothetical protein","171","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4712","NP_253400.1","hypothetical protein","171","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4713","NP_253401.1","hypothetical protein","150","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4714","NP_253402.1","conserved hypothetical protein","150","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4714","NP_253402.1","conserved hypothetical protein","150","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4715","NP_253403.1","probable aminotransferase","412","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4715","NP_253403.1","probable aminotransferase","412","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4716","NP_253404.1","hypothetical protein","285","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4717","NP_253405.1","conserved hypothetical protein","298","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4718","NP_253406.1","hypothetical protein","159","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4719","NP_253407.1","probable transporter","432","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4720","NP_253408.1","tRNA (uracil-5-)-methyltransferase","364","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4721","NP_253409.1","conserved hypothetical protein","236","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4722","NP_253410.1","probable aminotransferase","391","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4723","NP_253411.1","suppressor protein DksA","149","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4724","NP_253412.1","probable aminoacyl-transfer RNA synthetase (class I)","294","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4724.1","YP_003933613.1","conserved hypothetical protein","59","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4724.1","YP_003933613.1","conserved hypothetical protein","59","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4725","NP_253413.1","two-component sensor CbrA","984","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4726","NP_253414.1","two-component response regulator CbrB","479","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4727","NP_253415.1","poly(A) polymerase","468","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4728","NP_253416.1","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase","163","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4729","NP_253417.1","3-methyl-2-oxobutanoate hydroxymethyltransferase","267","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4730","NP_253418.1","pantoate--beta-alanine ligase","284","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4731","NP_253419.1","aspartate 1-decarboxylase precursor","127","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4732","NP_253420.1","glucose-6-phosphate isomerase","555","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4732","NP_253420.1","glucose-6-phosphate isomerase","555","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4733","NP_253421.1","acetyl-coenzyme A synthetase","646","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4734","NP_253422.1","hypothetical protein","294","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4735","NP_253423.1","hypothetical protein","1089","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4735","NP_253423.1","hypothetical protein","1089","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4736","NP_253424.1","hypothetical protein","98","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4737","NP_253425.2","hypothetical protein","105","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4738","NP_253426.1","conserved hypothetical protein","66","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4739","NP_253427.1","conserved hypothetical protein","115","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4740","NP_253428.1","polyribonucleotide nucleotidyltransferase","702","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4740","NP_253428.1","polyribonucleotide nucleotidyltransferase","702","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4741","NP_253429.1","30S ribosomal protein S15","90","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4741","NP_253429.1","30S ribosomal protein S15","90","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4742","NP_253430.1","tRNA pseudouridine 55 synthase","305","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4743","NP_253431.1","ribosome-binding factor A","130","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4744","NP_253432.1","translation initiation factor IF-2","841","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4745","NP_253433.1","N utilization substance protein A","494","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4745","NP_253433.1","N utilization substance protein A","494","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4746","NP_253434.1","conserved hypothetical protein","153","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4747","NP_253435.1","secretion protein SecG","130","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4747","NP_253435.1","secretion protein SecG","130","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4748","NP_253436.1","triosephosphate isomerase","252","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4749","NP_253437.1","phosphoglucosamine mutase","446","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4750","NP_253438.1","dihydropteroate synthase","284","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4751","NP_253439.1","cell division protein FtsH","640","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4751","NP_253439.1","cell division protein FtsH","640","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4751","NP_253439.1","cell division protein FtsH","640","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4752","NP_253440.1","cell division protein FtsJ","208","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4753","NP_253441.1","conserved hypothetical protein","105","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4754","NP_253442.1","hypothetical protein","136","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4755","NP_253443.1","transcription elongation factor GreA","159","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4756","NP_253444.1","carbamoylphosphate synthetase large subunit","1074","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4756","NP_253444.1","carbamoylphosphate synthetase large subunit","1074","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4757","NP_253445.1","conserved hypothetical protein","217","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4758","NP_253446.1","carbamoyl-phosphate synthase small chain","379","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4759","NP_253447.1","dihydrodipicolinate reductase","269","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4760","NP_253448.1","DnaJ protein","378","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4761","NP_253449.1","DnaK protein","638","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4761","NP_253449.1","DnaK protein","638","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4762","NP_253450.1","heat shock protein GrpE","187","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4763","NP_253451.1","DNA repair protein RecN","559","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4764","NP_253452.1","ferric uptake regulation protein","135","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4764","NP_253452.1","ferric uptake regulation protein","135","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4765","NP_253453.1","Outer membrane lipoprotein OmlA precursor","177","Outer Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4765","NP_253453.1","Outer membrane lipoprotein OmlA precursor","177","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4765","NP_253453.1","Outer membrane lipoprotein OmlA precursor","177","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4766","NP_253454.1","conserved hypothetical protein","102","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4767","NP_253455.1","conserved hypothetical protein","145","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4768","NP_253456.1","SmpB protein","160","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4769","NP_253457.1","probable transcriptional regulator","258","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4770","NP_253458.1","L-lactate permease","563","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4770","NP_253458.1","L-lactate permease","563","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4771","NP_253459.1","L-lactate dehydrogenase","382","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4771","NP_253459.1","L-lactate dehydrogenase","382","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4772","NP_253460.1","probable ferredoxin","939","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4773","NP_253461.1","hypothetical protein","161","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4773","NP_253461.1","hypothetical protein","161","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4774","NP_253462.1","hypothetical protein","350","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4774","NP_253462.1","hypothetical protein","350","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4775","NP_253463.1","hypothetical protein","287","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4775","NP_253463.1","hypothetical protein","287","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4776","NP_253464.1","PmrA: two-component regulator system response regulator PmrA","222","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4776","NP_253464.1","PmrA: two-component regulator system response regulator PmrA","222","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4777","NP_253465.1","PmrB: two-component regulator system signal sensor kinase PmrB","478","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4777","NP_253465.1","PmrB: two-component regulator system signal sensor kinase PmrB","478","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4778","NP_253466.1","CueR","133","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4778","NP_253466.1","CueR","133","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4779","NP_253467.1","hypothetical protein","298","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4780","NP_253468.1","conserved hypothetical protein","298","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4781","NP_253469.1","cyclic di-GMP phosphodiesterase","394","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4782","NP_253470.1","hypothetical protein","82","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4783","NP_253471.1","conserved hypothetical protein","297","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4784","NP_253472.1","probable transcriptional regulator","156","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4785","NP_253473.1","probable acyl-CoA thiolase","426","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4785","NP_253473.1","probable acyl-CoA thiolase","426","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4786","NP_253474.1","probable short-chain dehydrogenase","452","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4786","NP_253474.1","probable short-chain dehydrogenase","452","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4787","NP_253475.1","probable transcriptional regulator","334","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4788","NP_253476.1","hypothetical protein","286","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4789","NP_253477.1","conserved hypothetical protein","102","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4790","NP_253478.1","conserved hypothetical protein","250","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4791","NP_253479.1","hypothetical protein","207","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4792","NP_253480.1","conserved hypothetical protein","312","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4793","NP_253481.1","hypothetical protein","188","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4794","NP_253482.1","hypothetical protein","161","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4795","NP_253483.1","hypothetical protein","126","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4796","NP_253484.1","hypothetical protein","156","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4797","NP_253485.1","probable transposase","339","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4798","NP_253486.1","hypothetical protein","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4799","NP_253487.1","hypothetical protein","193","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4800","NP_253488.1","hypothetical protein","267","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4801","NP_253489.1","hypothetical protein","123","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4801","NP_253489.1","hypothetical protein","123","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4802","NP_253490.1","hypothetical protein","241","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4803","NP_253491.1","hypothetical protein","206","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4804","NP_253492.1","POTRA-like domain-containing usher, CupB3","466","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4805","NP_253493.1","probable class III aminotransferase","469","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4806","NP_253494.1","probable transcriptional regulator","228","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4807","NP_253495.1","selenocysteine-specific elongation factor","642","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4807","NP_253495.1","selenocysteine-specific elongation factor","642","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4808","NP_253496.1","L-seryl-tRNA(ser) selenium transferase","469","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4809","NP_253497.1","FdhE protein","310","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4809","NP_253497.1","FdhE protein","310","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4810","NP_253498.1","nitrate-inducible formate dehydrogenase, gamma subunit","209","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4811","NP_253499.1","nitrate-inducible formate dehydrogenase, beta subunit","310","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4811","NP_253499.1","nitrate-inducible formate dehydrogenase, beta subunit","310","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4812","YP_003933614.1","formate dehydrogenase-O, major subunit","1027","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4812","YP_003933614.1","formate dehydrogenase-O, major subunit","1027","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4812","YP_003933614.1","formate dehydrogenase-O, major subunit","1027","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4813","NP_253500.1","lipase LipC","310","Extracellular","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4813","NP_253500.1","lipase LipC","310","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4813","NP_253500.1","lipase LipC","310","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4814","NP_253501.1","2,4-dienoyl-CoA reductase FadH2","682","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4815","NP_253502.1","hypothetical protein","150","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4816","NP_253503.1","hypothetical protein","412","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4817","NP_253504.1","hypothetical protein","165","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4818","NP_253505.1","conserved hypothetical protein","479","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4819","NP_253506.1","probable glycosyl transferase","325","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4820","NP_253507.1","hypothetical protein","121","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4821","NP_253508.1","probable transporter","454","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4822","NP_253509.1","hypothetical protein","556","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4823","NP_253510.1","hypothetical protein","70","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4824","NP_253511.1","hypothetical protein","259","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4825","NP_253512.1","Mg(2+) transport ATPase, P-type 2","904","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4825","NP_253512.1","Mg(2+) transport ATPase, P-type 2","904","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4825","NP_253512.1","Mg(2+) transport ATPase, P-type 2","904","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4826","NP_253513.1","hypothetical protein","73","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4827","NP_253514.1","arylamine N-acetyltransferase","280","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4828","NP_253515.1","conserved hypothetical protein","152","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4829","NP_253516.1","dihydrolipoamide dehydrogenase 3","468","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4829","NP_253516.1","dihydrolipoamide dehydrogenase 3","468","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4830","NP_253517.1","hypothetical protein","180","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4831","NP_253518.1","probable transcriptional regulator","187","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4832","NP_253519.1","probable short-chain dehydrogenase","266","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4832","NP_253519.1","probable short-chain dehydrogenase","266","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4833","NP_253520.1","conserved hypothetical protein","206","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4834","NP_253521.1","putative nicotianamine synthase","285","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4835","NP_253522.1","hypothetical protein","434","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4836","NP_253523.1","hypothetical protein","264","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4837","NP_253524.1","probable outer membrane protein precursor","709","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4837","NP_253524.1","probable outer membrane protein precursor","709","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4838","NP_253525.1","hypothetical protein","385","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4839","NP_253526.1","arginine decarboxylase (ADC)","637","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4839","NP_253526.1","arginine decarboxylase (ADC)","637","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4839","NP_253526.1","arginine decarboxylase (ADC)","637","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4840","NP_253527.1","conserved hypothetical protein","124","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4841","NP_253528.1","conserved hypothetical protein","179","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4842","NP_253529.1","hypothetical protein","357","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4842","NP_253529.1","hypothetical protein","357","Outer Membrane Vesicle","Class 1","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4843","NP_253530.1","GcbA","543","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4844","NP_253531.1","CtpL","658","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4845","NP_253532.1","thiol:disulfide interchange protein DipZ","592","Cytoplasmic Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4845","NP_253532.1","thiol:disulfide interchange protein DipZ","592","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4846","NP_253533.1","3-dehydroquinate dehydratase","148","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA4847","NP_253534.1","biotin carboxyl carrier protein (BCCP)","157","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
